DRAGON ver.5.4 - No. of variables: 1664				
No.	Rel.No.	Symbol	Definition	Class
397	7	EEig05x	Eigenvalue 05 from edge adj. matrix weighted by edge degrees	edge adjacency indices
398	8	EEig06x	Eigenvalue 06 from edge adj. matrix weighted by edge degrees	edge adjacency indices
399	9	EEig07x	Eigenvalue 07 from edge adj. matrix weighted by edge degrees	edge adjacency indices
400	10	EEig08x	Eigenvalue 08 from edge adj. matrix weighted by edge degrees	edge adjacency indices
401	11	EEig09x	Eigenvalue 09 from edge adj. matrix weighted by edge degrees	edge adjacency indices
402	12	EEig10x	Eigenvalue 10 from edge adj. matrix weighted by edge degrees	edge adjacency indices
403	13	EEig11x	Eigenvalue 11 from edge adj. matrix weighted by edge degrees	edge adjacency indices
404	14	EEig12x	Eigenvalue 12 from edge adj. matrix weighted by edge degrees	edge adjacency indices
405	15	EEig13x	Eigenvalue 13 from edge adj. matrix weighted by edge degrees	edge adjacency indices
406	16	EEig14x	Eigenvalue 14 from edge adj. matrix weighted by edge degrees	edge adjacency indices
407	17	EEig15x	Eigenvalue 15 from edge adj. matrix weighted by edge degrees	edge adjacency indices
408	18	EEig01d	Eigenvalue 01 from edge adj. matrix weighted by dipole moments	edge adjacency indices
409	19	EEig02d	Eigenvalue 02 from edge adj. matrix weighted by dipole moments	edge adjacency indices
410	20	EEig03d	Eigenvalue 03 from edge adj. matrix weighted by dipole moments	edge adjacency indices
411	21	EEig04d	Eigenvalue 04 from edge adj. matrix weighted by dipole moments	edge adjacency indices
412	22	EEig05d	Eigenvalue 05 from edge adj. matrix weighted by dipole moments	edge adjacency indices
413	23	EEig06d	Eigenvalue 06 from edge adj. matrix weighted by dipole moments	edge adjacency indices
414	24	EEig07d	Eigenvalue 07 from edge adj. matrix weighted by dipole moments	edge adjacency indices
415	25	EEig08d	Eigenvalue 08 from edge adj. matrix weighted by dipole moments	edge adjacency indices
416	26	EEig09d	Eigenvalue 09 from edge adj. matrix weighted by dipole moments	edge adjacency indices
417	27	EEig10d	Eigenvalue 10 from edge adj. matrix weighted by dipole moments	edge adjacency indices
418	28	EEig11d	Eigenvalue 11 from edge adj. matrix weighted by dipole moments	edge adjacency indices
419	29	EEig12d	Eigenvalue 12 from edge adj. matrix weighted by dipole moments	edge adjacency indices
420	30	EEig13d	Eigenvalue 13 from edge adj. matrix weighted by dipole moments	edge adjacency indices
421	31	EEig14d	Eigenvalue 14 from edge adj. matrix weighted by dipole moments	edge adjacency indices
422	32	EEig15d	Eigenvalue 15 from edge adj. matrix weighted by dipole moments	edge adjacency indices
423	33	EEig01r	Eigenvalue 01 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
424	34	EEig02r	Eigenvalue 02 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
425	35	EEig03r	Eigenvalue 03 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
426	36	EEig04r	Eigenvalue 04 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
427	37	EEig05r	Eigenvalue 05 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
428	38	EEig06r	Eigenvalue 06 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
429	39	EEig07r	Eigenvalue 07 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
430	40	EEig08r	Eigenvalue 08 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
431	41	EEig09r	Eigenvalue 09 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
432	42	EEig10r	Eigenvalue 10 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
433	43	EEig11r	Eigenvalue 11 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
434	44	EEig12r	Eigenvalue 12 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
435	45	EEig13r	Eigenvalue 13 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
436	46	EEig14r	Eigenvalue 14 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
437	47	EEig15r	Eigenvalue 15 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
438	48	ESpm01u	Spectral moment 01 from edge adj. matrix	edge adjacency indices
439	49	ESpm02u	Spectral moment 02 from edge adj. matrix	edge adjacency indices
440	50	ESpm03u	Spectral moment 03 from edge adj. matrix	edge adjacency indices
441	51	ESpm04u	Spectral moment 04 from edge adj. matrix	edge adjacency indices
442	52	ESpm05u	Spectral moment 05 from edge adj. matrix	edge adjacency indices
443	53	ESpm06u	Spectral moment 06 from edge adj. matrix	edge adjacency indices
444	54	ESpm07u	Spectral moment 07 from edge adj. matrix	edge adjacency indices
445	55	ESpm08u	Spectral moment 08 from edge adj. matrix	edge adjacency indices
446	56	ESpm09u	Spectral moment 09 from edge adj. matrix	edge adjacency indices
447	57	ESpm10u	Spectral moment 10 from edge adj. matrix	edge adjacency indices
448	58	ESpm11u	Spectral moment 11 from edge adj. matrix	edge adjacency indices
449	59	ESpm12u	Spectral moment 12 from edge adj. matrix	edge adjacency indices
450	60	ESpm13u	Spectral moment 13 from edge adj. matrix	edge adjacency indices
451	61	ESpm14u	Spectral moment 14 from edge adj. matrix	edge adjacency indices
452	62	ESpm15u	Spectral moment 15 from edge adj. matrix	edge adjacency indices
453	63	ESpm01x	Spectral moment 01 from edge adj. matrix weighted by edge degrees	edge adjacency indices
454	64	ESpm02x	Spectral moment 02 from edge adj. matrix weighted by edge degrees	edge adjacency indices
455	65	ESpm03x	Spectral moment 03 from edge adj. matrix weighted by edge degrees	edge adjacency indices
456	66	ESpm04x	Spectral moment 04 from edge adj. matrix weighted by edge degrees	edge adjacency indices
457	67	ESpm05x	Spectral moment 05 from edge adj. matrix weighted by edge degrees	edge adjacency indices
458	68	ESpm06x	Spectral moment 06 from edge adj. matrix weighted by edge degrees	edge adjacency indices
459	69	ESpm07x	Spectral moment 07 from edge adj. matrix weighted by edge degrees	edge adjacency indices
460	70	ESpm08x	Spectral moment 08 from edge adj. matrix weighted by edge degrees	edge adjacency indices
461	71	ESpm09x	Spectral moment 09 from edge adj. matrix weighted by edge degrees	edge adjacency indices
462	72	ESpm10x	Spectral moment 10 from edge adj. matrix weighted by edge degrees	edge adjacency indices
463	73	ESpm11x	Spectral moment 11 from edge adj. matrix weighted by edge degrees	edge adjacency indices
464	74	ESpm12x	Spectral moment 12 from edge adj. matrix weighted by edge degrees	edge adjacency indices
465	75	ESpm13x	Spectral moment 13 from edge adj. matrix weighted by edge degrees	edge adjacency indices
466	76	ESpm14x	Spectral moment 14 from edge adj. matrix weighted by edge degrees	edge adjacency indices
467	77	ESpm15x	Spectral moment 15 from edge adj. matrix weighted by edge degrees	edge adjacency indices
468	78	ESpm01d	Spectral moment 01 from edge adj. matrix weighted by dipole moments	edge adjacency indices
469	79	ESpm02d	Spectral moment 02 from edge adj. matrix weighted by dipole moments	edge adjacency indices
470	80	ESpm03d	Spectral moment 03 from edge adj. matrix weighted by dipole moments	edge adjacency indices
471	81	ESpm04d	Spectral moment 04 from edge adj. matrix weighted by dipole moments	edge adjacency indices
472	82	ESpm05d	Spectral moment 05 from edge adj. matrix weighted by dipole moments	edge adjacency indices
473	83	ESpm06d	Spectral moment 06 from edge adj. matrix weighted by dipole moments	edge adjacency indices
474	84	ESpm07d	Spectral moment 07 from edge adj. matrix weighted by dipole moments	edge adjacency indices
475	85	ESpm08d	Spectral moment 08 from edge adj. matrix weighted by dipole moments	edge adjacency indices
476	86	ESpm09d	Spectral moment 09 from edge adj. matrix weighted by dipole moments	edge adjacency indices
477	87	ESpm10d	Spectral moment 10 from edge adj. matrix weighted by dipole moments	edge adjacency indices
478	88	ESpm11d	Spectral moment 11 from edge adj. matrix weighted by dipole moments	edge adjacency indices
479	89	ESpm12d	Spectral moment 12 from edge adj. matrix weighted by dipole moments	edge adjacency indices
480	90	ESpm13d	Spectral moment 13 from edge adj. matrix weighted by dipole moments	edge adjacency indices
481	91	ESpm14d	Spectral moment 14 from edge adj. matrix weighted by dipole moments	edge adjacency indices
482	92	ESpm15d	Spectral moment 15 from edge adj. matrix weighted by dipole moments	edge adjacency indices
483	93	ESpm01r	Spectral moment 01 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
484	94	ESpm02r	Spectral moment 02 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
485	95	ESpm03r	Spectral moment 03 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
486	96	ESpm04r	Spectral moment 04 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
487	97	ESpm05r	Spectral moment 05 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
488	98	ESpm06r	Spectral moment 06 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
489	99	ESpm07r	Spectral moment 07 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
490	100	ESpm08r	Spectral moment 08 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
491	101	ESpm09r	Spectral moment 09 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
492	102	ESpm10r	Spectral moment 10 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
493	103	ESpm11r	Spectral moment 11 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
494	104	ESpm12r	Spectral moment 12 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
495	105	ESpm13r	Spectral moment 13 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
496	106	ESpm14r	Spectral moment 14 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
497	107	ESpm15r	Spectral moment 15 from edge adj. matrix weighted by resonance integrals	edge adjacency indices
498	1	BEHm1	highest eigenvalue n. 1 of Burden matrix / weighted by atomic masses	Burden eigenvalues
499	2	BEHm2	highest eigenvalue n. 2 of Burden matrix / weighted by atomic masses	Burden eigenvalues
500	3	BEHm3	highest eigenvalue n. 3 of Burden matrix / weighted by atomic masses	Burden eigenvalues
501	4	BEHm4	highest eigenvalue n. 4 of Burden matrix / weighted by atomic masses	Burden eigenvalues
502	5	BEHm5	highest eigenvalue n. 5 of Burden matrix / weighted by atomic masses	Burden eigenvalues
503	6	BEHm6	highest eigenvalue n. 6 of Burden matrix / weighted by atomic masses	Burden eigenvalues
504	7	BEHm7	highest eigenvalue n. 7 of Burden matrix / weighted by atomic masses	Burden eigenvalues
505	8	BEHm8	highest eigenvalue n. 8 of Burden matrix / weighted by atomic masses	Burden eigenvalues
506	9	BELm1	lowest eigenvalue n. 1 of Burden matrix / weighted by atomic masses	Burden eigenvalues
507	10	BELm2	lowest eigenvalue n. 2 of Burden matrix / weighted by atomic masses	Burden eigenvalues
508	11	BELm3	lowest eigenvalue n. 3 of Burden matrix / weighted by atomic masses	Burden eigenvalues
509	12	BELm4	lowest eigenvalue n. 4 of Burden matrix / weighted by atomic masses	Burden eigenvalues
510	13	BELm5	lowest eigenvalue n. 5 of Burden matrix / weighted by atomic masses	Burden eigenvalues
511	14	BELm6	lowest eigenvalue n. 6 of Burden matrix / weighted by atomic masses	Burden eigenvalues
512	15	BELm7	lowest eigenvalue n. 7 of Burden matrix / weighted by atomic masses	Burden eigenvalues
513	16	BELm8	lowest eigenvalue n. 8 of Burden matrix / weighted by atomic masses	Burden eigenvalues
514	17	BEHv1	highest eigenvalue n. 1 of Burden matrix / weighted by atomic van der Waals volumes	Burden eigenvalues
515	18	BEHv2	highest eigenvalue n. 2 of Burden matrix / weighted by atomic van der Waals volumes	Burden eigenvalues
516	19	BEHv3	highest eigenvalue n. 3 of Burden matrix / weighted by atomic van der Waals volumes	Burden eigenvalues
517	20	BEHv4	highest eigenvalue n. 4 of Burden matrix / weighted by atomic van der Waals volumes	Burden eigenvalues
518	21	BEHv5	highest eigenvalue n. 5 of Burden matrix / weighted by atomic van der Waals volumes	Burden eigenvalues
519	22	BEHv6	highest eigenvalue n. 6 of Burden matrix / weighted by atomic van der Waals volumes	Burden eigenvalues
520	23	BEHv7	highest eigenvalue n. 7 of Burden matrix / weighted by atomic van der Waals volumes	Burden eigenvalues
521	24	BEHv8	highest eigenvalue n. 8 of Burden matrix / weighted by atomic van der Waals volumes	Burden eigenvalues
522	25	BELv1	lowest eigenvalue n. 1 of Burden matrix / weighted by atomic van der Waals volumes	Burden eigenvalues
523	26	BELv2	lowest eigenvalue n. 2 of Burden matrix / weighted by atomic van der Waals volumes	Burden eigenvalues
524	27	BELv3	lowest eigenvalue n. 3 of Burden matrix / weighted by atomic van der Waals volumes	Burden eigenvalues
525	28	BELv4	lowest eigenvalue n. 4 of Burden matrix / weighted by atomic van der Waals volumes	Burden eigenvalues
526	29	BELv5	lowest eigenvalue n. 5 of Burden matrix / weighted by atomic van der Waals volumes	Burden eigenvalues
527	30	BELv6	lowest eigenvalue n. 6 of Burden matrix / weighted by atomic van der Waals volumes	Burden eigenvalues
528	31	BELv7	lowest eigenvalue n. 7 of Burden matrix / weighted by atomic van der Waals volumes	Burden eigenvalues
529	32	BELv8	lowest eigenvalue n. 8 of Burden matrix / weighted by atomic van der Waals volumes	Burden eigenvalues
530	33	BEHe1	highest eigenvalue n. 1 of Burden matrix / weighted by atomic Sanderson electronegativities	Burden eigenvalues
531	34	BEHe2	highest eigenvalue n. 2 of Burden matrix / weighted by atomic Sanderson electronegativities	Burden eigenvalues
532	35	BEHe3	highest eigenvalue n. 3 of Burden matrix / weighted by atomic Sanderson electronegativities	Burden eigenvalues
533	36	BEHe4	highest eigenvalue n. 4 of Burden matrix / weighted by atomic Sanderson electronegativities	Burden eigenvalues
534	37	BEHe5	highest eigenvalue n. 5 of Burden matrix / weighted by atomic Sanderson electronegativities	Burden eigenvalues
535	38	BEHe6	highest eigenvalue n. 6 of Burden matrix / weighted by atomic Sanderson electronegativities	Burden eigenvalues
536	39	BEHe7	highest eigenvalue n. 7 of Burden matrix / weighted by atomic Sanderson electronegativities	Burden eigenvalues
537	40	BEHe8	highest eigenvalue n. 8 of Burden matrix / weighted by atomic Sanderson electronegativities	Burden eigenvalues
538	41	BELe1	lowest eigenvalue n. 1 of Burden matrix / weighted by atomic Sanderson electronegativities	Burden eigenvalues
539	42	BELe2	lowest eigenvalue n. 2 of Burden matrix / weighted by atomic Sanderson electronegativities	Burden eigenvalues
540	43	BELe3	lowest eigenvalue n. 3 of Burden matrix / weighted by atomic Sanderson electronegativities	Burden eigenvalues
541	44	BELe4	lowest eigenvalue n. 4 of Burden matrix / weighted by atomic Sanderson electronegativities	Burden eigenvalues
542	45	BELe5	lowest eigenvalue n. 5 of Burden matrix / weighted by atomic Sanderson electronegativities	Burden eigenvalues
543	46	BELe6	lowest eigenvalue n. 6 of Burden matrix / weighted by atomic Sanderson electronegativities	Burden eigenvalues
544	47	BELe7	lowest eigenvalue n. 7 of Burden matrix / weighted by atomic Sanderson electronegativities	Burden eigenvalues
545	48	BELe8	lowest eigenvalue n. 8 of Burden matrix / weighted by atomic Sanderson electronegativities	Burden eigenvalues
546	49	BEHp1	highest eigenvalue n. 1 of Burden matrix / weighted by atomic polarizabilities	Burden eigenvalues
547	50	BEHp2	highest eigenvalue n. 2 of Burden matrix / weighted by atomic polarizabilities	Burden eigenvalues
548	51	BEHp3	highest eigenvalue n. 3 of Burden matrix / weighted by atomic polarizabilities	Burden eigenvalues
549	52	BEHp4	highest eigenvalue n. 4 of Burden matrix / weighted by atomic polarizabilities	Burden eigenvalues
550	53	BEHp5	highest eigenvalue n. 5 of Burden matrix / weighted by atomic polarizabilities	Burden eigenvalues
551	54	BEHp6	highest eigenvalue n. 6 of Burden matrix / weighted by atomic polarizabilities	Burden eigenvalues
552	55	BEHp7	highest eigenvalue n. 7 of Burden matrix / weighted by atomic polarizabilities	Burden eigenvalues
553	56	BEHp8	highest eigenvalue n. 8 of Burden matrix / weighted by atomic polarizabilities	Burden eigenvalues
554	57	BELp1	lowest eigenvalue n. 1 of Burden matrix / weighted by atomic polarizabilities	Burden eigenvalues
555	58	BELp2	lowest eigenvalue n. 2 of Burden matrix / weighted by atomic polarizabilities	Burden eigenvalues
556	59	BELp3	lowest eigenvalue n. 3 of Burden matrix / weighted by atomic polarizabilities	Burden eigenvalues
557	60	BELp4	lowest eigenvalue n. 4 of Burden matrix / weighted by atomic polarizabilities	Burden eigenvalues
558	61	BELp5	lowest eigenvalue n. 5 of Burden matrix / weighted by atomic polarizabilities	Burden eigenvalues
559	62	BELp6	lowest eigenvalue n. 6 of Burden matrix / weighted by atomic polarizabilities	Burden eigenvalues
560	63	BELp7	lowest eigenvalue n. 7 of Burden matrix / weighted by atomic polarizabilities	Burden eigenvalues
561	64	BELp8	lowest eigenvalue n. 8 of Burden matrix / weighted by atomic polarizabilities	Burden eigenvalues
562	1	GGI1	topological charge index of order 1	topological charge indices
563	2	GGI2	topological charge index of order 2	topological charge indices
564	3	GGI3	topological charge index of order 3	topological charge indices
565	4	GGI4	topological charge index of order 4	topological charge indices
566	5	GGI5	topological charge index of order 5	topological charge indices
567	6	GGI6	topological charge index of order 6	topological charge indices
568	7	GGI7	topological charge index of order 7	topological charge indices
569	8	GGI8	topological charge index of order 8	topological charge indices
570	9	GGI9	topological charge index of order 9	topological charge indices
571	10	GGI10	topological charge index of order 10	topological charge indices
572	11	JGI1	mean topological charge index of order1	topological charge indices
573	12	JGI2	mean topological charge index of order2	topological charge indices
574	13	JGI3	mean topological charge index of order3	topological charge indices
575	14	JGI4	mean topological charge index of order4	topological charge indices
576	15	JGI5	mean topological charge index of order5	topological charge indices
577	16	JGI6	mean topological charge index of order6	topological charge indices
578	17	JGI7	mean topological charge index of order7	topological charge indices
579	18	JGI8	mean topological charge index of order8	topological charge indices
580	19	JGI9	mean topological charge index of order9	topological charge indices
581	20	JGI10	mean topological charge index of order10	topological charge indices
582	21	JGT	global topological charge index	topological charge indices
583	1	LP1	Lovasz-Pelikan index (leading eigenvalue)	eigenvalue-based indices
584	2	Eig1Z	Leading eigenvalue from Z weighted distance matrix (Barysz matrix)	eigenvalue-based indices
585	3	Eig1m	Leading eigenvalue from mass weighted distance matrix	eigenvalue-based indices
586	4	Eig1v	Leading eigenvalue from van der Waals weighted distance matrix	eigenvalue-based indices
587	5	Eig1e	Leading eigenvalue from electronegativity weighted distance matrix	eigenvalue-based indices
588	6	Eig1p	Leading eigenvalue from polarizability weighted distance matrix	eigenvalue-based indices
589	7	SEigZ	Eigenvalue sum from Z weighted distance matrix (Barysz matrix)	eigenvalue-based indices
590	8	SEigm	Eigenvalue sum from mass weighted distance matrix	eigenvalue-based indices
591	9	SEigv	Eigenvalue sum from van der Waals weighted distance matrix	eigenvalue-based indices
592	10	SEige	Eigenvalue sum from electronegativity weighted distance matrix	eigenvalue-based indices
593	11	SEigp	Eigenvalue sum from polarizability weighted distance matrix	eigenvalue-based indices
594	12	AEigZ	Absolute eigenvalue sum from Z weighted distance matrix (Barysz matrix)	eigenvalue-based indices
595	13	AEigm	Absolute eigenvalue sum from mass weighted distance matrix	eigenvalue-based indices
596	14	AEigv	Absolute eigenvalue sum from van der Waals weighted distance matrix	eigenvalue-based indices
597	15	AEige	Absolute eigenvalue sum from electronegativity weighted distance matrix	eigenvalue-based indices
598	16	AEigp	Absolute eigenvalue sum from polarizability weighted distance matrix	eigenvalue-based indices
599	17	VEA1	eigenvector coefficient sum from adjacency matrix	eigenvalue-based indices
600	18	VEA2	average eigenvector coefficient sum from adjacency matrix	eigenvalue-based indices
601	19	VRA1	Randic-type eigenvector-based index from adjacency matrix	eigenvalue-based indices
602	20	VRA2	average Randic-type eigenvector-based index from adjacency matrix	eigenvalue-based indices
603	21	VED1	eigenvector coefficient sum from distance matrix	eigenvalue-based indices
604	22	VED2	average eigenvector coefficient sum from distance matrix	eigenvalue-based indices
605	23	VRD1	Randic-type eigenvector-based index from distance matrix	eigenvalue-based indices
606	24	VRD2	average Randic-type eigenvector-based index from distance matrix	eigenvalue-based indices
607	25	VEZ1	eigenvector coefficient sum from Z weighted distance matrix (Barysz matrix)	eigenvalue-based indices
608	26	VEZ2	average eigenvector coefficient sum from Z weighted distance matrix (Barysz matrix)	eigenvalue-based indices
609	27	VRZ1	Randic-type eigenvector-based index from Z weighted distance matrix (Barysz matrix)	eigenvalue-based indices
610	28	VRZ2	average Randic-type eigenvector-based index from Z weighted distance matrix (Barysz matrix)	eigenvalue-based indices
611	29	VEm1	eigenvector coefficient sum from mass weighted distance matrix	eigenvalue-based indices
612	30	VEm2	average eigenvector coefficient sum from mass weighted distance matrix	eigenvalue-based indices
613	31	VRm1	Randic-type eigenvector-based index from mass weighted distance matrix	eigenvalue-based indices
614	32	VRm2	average Randic-type eigenvector-based index from mass weighted distance matrix	eigenvalue-based indices
615	33	VEv1	eigenvector coefficient sum from van der Waals weighted distance matrix	eigenvalue-based indices
616	34	VEv2	average eigenvector coefficient sum from van der Waals weighted distance matrix	eigenvalue-based indices
617	35	VRv1	Randic-type eigenvector-based index from van der Waals weighted distance matrix	eigenvalue-based indices
618	36	VRv2	average Randic-type eigenvector-based index from van der Waals weighted distance matrix	eigenvalue-based indices
619	37	VEe1	eigenvector coefficient sum from electronegativity weighted distance matrix	eigenvalue-based indices
620	38	VEe2	average eigenvector coefficient sum from electronegativity weighted distance matrix	eigenvalue-based indices
621	39	VRe1	Randic-type eigenvector-based index from electronegativity weighted distance matrix	eigenvalue-based indices
622	40	VRe2	average Randic-type eigenvector-based index from electronegativity weighted distance matrix	eigenvalue-based indices
623	41	VEp1	eigenvector coefficient sum from polarizability weighted distance matrix	eigenvalue-based indices
624	42	VEp2	average eigenvector coefficient sum from polarizability weighted distance matrix	eigenvalue-based indices
625	43	VRp1	Randic-type eigenvector-based index from polarizability weighted distance matrix	eigenvalue-based indices
626	44	VRp2	average Randic-type eigenvector-based index from polarizability weighted distance matrix	eigenvalue-based indices
627	1	DP01	molecular profile no. 01	Randic molecular profiles
628	2	DP02	molecular profile no. 02	Randic molecular profiles
629	3	DP03	molecular profile no. 03	Randic molecular profiles
630	4	DP04	molecular profile no. 04	Randic molecular profiles
631	5	DP05	molecular profile no. 05	Randic molecular profiles
632	6	DP06	molecular profile no. 06	Randic molecular profiles
633	7	DP07	molecular profile no. 07	Randic molecular profiles
634	8	DP08	molecular profile no. 08	Randic molecular profiles
635	9	DP09	molecular profile no. 09	Randic molecular profiles
636	10	DP10	molecular profile no. 10	Randic molecular profiles
637	11	DP11	molecular profile no. 11	Randic molecular profiles
638	12	DP12	molecular profile no. 12	Randic molecular profiles
639	13	DP13	molecular profile no. 13	Randic molecular profiles
640	14	DP14	molecular profile no. 14	Randic molecular profiles
641	15	DP15	molecular profile no. 15	Randic molecular profiles
642	16	DP16	molecular profile no. 16	Randic molecular profiles
643	17	DP17	molecular profile no. 17	Randic molecular profiles
644	18	DP18	molecular profile no. 18	Randic molecular profiles
645	19	DP19	molecular profile no. 19	Randic molecular profiles
646	20	DP20	molecular profile no. 20	Randic molecular profiles
647	21	SP01	shape profile no. 01	Randic molecular profiles
648	22	SP02	shape profile no. 02	Randic molecular profiles
649	23	SP03	shape profile no. 03	Randic molecular profiles
650	24	SP04	shape profile no. 04	Randic molecular profiles
651	25	SP05	shape profile no. 05	Randic molecular profiles
652	26	SP06	shape profile no. 06	Randic molecular profiles
653	27	SP07	shape profile no. 07	Randic molecular profiles
654	28	SP08	shape profile no. 08	Randic molecular profiles
655	29	SP09	shape profile no. 09	Randic molecular profiles
656	30	SP10	shape profile no. 10	Randic molecular profiles
657	31	SP11	shape profile no. 11	Randic molecular profiles
658	32	SP12	shape profile no. 12	Randic molecular profiles
659	33	SP13	shape profile no. 13	Randic molecular profiles
660	34	SP14	shape profile no. 14	Randic molecular profiles
661	35	SP15	shape profile no. 15	Randic molecular profiles
662	36	SP16	shape profile no. 16	Randic molecular profiles
663	37	SP17	shape profile no. 17	Randic molecular profiles
664	38	SP18	shape profile no. 18	Randic molecular profiles
665	39	SP19	shape profile no. 19	Randic molecular profiles
666	40	SP20	shape profile no. 20	Randic molecular profiles
667	41	SHP2	average shape profile index of order 2	Randic molecular profiles
668	1	W3D	3D-Wiener index	geometrical descriptors
669	2	J3D	3D-Balaban index	geometrical descriptors
670	3	H3D	3D-Harary index	geometrical descriptors
671	4	AGDD	average geometric distance degree	geometrical descriptors
672	5	DDI	D/D index	geometrical descriptors
673	6	ADDD	average distance/distance degree	geometrical descriptors
674	7	G1	gravitational index G1	geometrical descriptors
675	8	G2	gravitational index G2 (bond-restricted)	geometrical descriptors
676	9	RGyr	radius of gyration (mass weighted)	geometrical descriptors
677	10	SPAN	span R	geometrical descriptors
678	11	SPAM	average span R	geometrical descriptors
679	12	MEcc	molecular eccentricity	geometrical descriptors
680	13	SPH	spherosity	geometrical descriptors
681	14	ASP	asphericity	geometrical descriptors
682	15	FDI	folding degree index	geometrical descriptors
683	16	PJI3	3D Petitjean shape index	geometrical descriptors
684	17	L/Bw	length-to-breadth ratio by WHIM	geometrical descriptors
685	18	SEig	absolute eigenvalue sum on geometry matrix	geometrical descriptors
686	19	HOMA	Harmonic Oscillator Model of Aromaticity index	geometrical descriptors
687	20	RCI	Jug RC index	geometrical descriptors
688	21	AROM	aromaticity index	geometrical descriptors
689	22	HOMT	HOMA total	geometrical descriptors
690	23	DISPm	d COMMA2 value / weighted by atomic masses	geometrical descriptors
691	24	QXXm	Qxx COMMA2 value / weighted by atomic masses	geometrical descriptors
692	25	QYYm	Qyy COMMA2 value / weighted by atomic masses	geometrical descriptors
693	26	QZZm	Qzz COMMA2 value / weighted by atomic masses	geometrical descriptors
694	27	DISPv	d COMMA2 value / weighted by atomic van der Waals volumes	geometrical descriptors
695	28	QXXv	Qxx COMMA2 value / weighted by atomic van der Waals volumes	geometrical descriptors
696	29	QYYv	Qyy COMMA2 value / weighted by atomic van der Waals volumes	geometrical descriptors
697	30	QZZv	Qzz COMMA2 value / weighted by atomic van der Waals volumes	geometrical descriptors
698	31	DISPe	d COMMA2 value / weighted by atomic Sanderson electronegativities	geometrical descriptors
699	32	QXXe	Qxx COMMA2 value / weighted by atomic Sanderson electronegativities	geometrical descriptors
700	33	QYYe	Qyy COMMA2 value / weighted by atomic Sanderson electronegativities	geometrical descriptors
701	34	QZZe	Qzz COMMA2 value / weighted by atomic Sanderson electronegativities	geometrical descriptors
702	35	DISPp	d COMMA2 value / weighted by atomic polarizabilities	geometrical descriptors
703	36	QXXp	Qxx COMMA2 value / weighted by atomic polarizabilities	geometrical descriptors
704	37	QYYp	Qyy COMMA2 value / weighted by atomic polarizabilities	geometrical descriptors
705	38	QZZp	Qzz COMMA2 value / weighted by atomic polarizabilities	geometrical descriptors
706	39	G(N..N)	sum of geometrical distances between N..N	geometrical descriptors
707	40	G(N..O)	sum of geometrical distances between N..O	geometrical descriptors
708	41	G(N..S)	sum of geometrical distances between N..S	geometrical descriptors
709	42	G(N..P)	sum of geometrical distances between N..P	geometrical descriptors
710	43	G(N..F)	sum of geometrical distances between N..F	geometrical descriptors
711	44	G(N..Cl)	sum of geometrical distances between N..Cl	geometrical descriptors
712	45	G(N..Br)	sum of geometrical distances between N..Br	geometrical descriptors
713	46	G(N..I)	sum of geometrical distances between N..I	geometrical descriptors
714	47	G(O..O)	sum of geometrical distances between O..O	geometrical descriptors
715	48	G(O..S)	sum of geometrical distances between O..S	geometrical descriptors
716	49	G(O..P)	sum of geometrical distances between O..P	geometrical descriptors
717	50	G(O..F)	sum of geometrical distances between O..F	geometrical descriptors
718	51	G(O..Cl)	sum of geometrical distances between O..Cl	geometrical descriptors
719	52	G(O..Br)	sum of geometrical distances between O..Br	geometrical descriptors
720	53	G(O..I)	sum of geometrical distances between O..I	geometrical descriptors
721	54	G(S..S)	sum of geometrical distances between S..S	geometrical descriptors
722	55	G(S..P)	sum of geometrical distances between S..P	geometrical descriptors
723	56	G(S..F)	sum of geometrical distances between S..F	geometrical descriptors
724	57	G(S..Cl)	sum of geometrical distances between S..Cl	geometrical descriptors
