No.	MolID	Molecule	ZM1	ZM1V	ZM2	ZM2V	Qindex	SNar	HNar	GNar	Xt	Dz	Ram	Pol	LPRS	VDA	MSD	SMTI	SMTIV	GMTI	GMTIV	Xu	SPI	W	WA	Har	Har2	QW	TI1	TI2	STN	HyDp	RHyDp	w	ww	Rww	D/D	Wap	WhetZ	Whetm	Whetv	Whete	Whetp	J	JhetZ	Jhetm	Jhetv	Jhete	Jhetp	MAXDN	MAXDP	DELS	TIE	S0K	S1K	S2K	S3K	PHI	BLI	PW2	PW3	PW4	PW5	PJI2	CSI	ECC	AECC	DECC	MDDD	UNIP	CENT	VAR	BAC	Lop	ICR	D/Dr05	D/Dr06	D/Dr09	D/Dr10	D/Dr11	D/Dr12	X0	X1	X2	X3	X4	X5	X0A	X1A	X2A	X3A	X4A	X5A	X0v	X1v	X2v	X3v	X4v	X5v	X0Av	X1Av	X2Av	X3Av	X4Av	X5Av	X0sol	X1sol	X2sol	X3sol	X4sol	X5sol	XMOD	RDCHI	RDSQ
31	PAH-L037.HIN	4-5-methylenephenanthrene	90	172	113	213	18	12.83	2.308	2.352	0.279	30	6	27	55.176	40	0.217	1494	2138	1636	3214	14.273	0	300	2.857	29.506	48.05	159.07	25.191	0.871	6.789	669	34.343	1305	8821	1.285	24.422	8747	210.667	210.667	210.667	210.667	210.667	1.694	2.422	2.422	2.422	2.422	2.422	0.395	0.252	3.42	11.4	44.603	7.47	2.402	0.823	1.196	0.893	0.592	0.37	0.228	0.131	0.5	174	74	4.933	0.622	5.067	31	135	18	0	0	1.566	13.731	57.235	82.802	63.613	70.667	0	9.828	7.433	6.87	6.435	6.122	5.43	0.655	0.413	0.254	0.157	0.099	0.064	8.326	5.356	4.273	3.439	2.807	2.1	0.555	0.298	0.158	0.084	0.045	0.025	9.828	7.433	6.87	6.435	6.122	5.43	44.596	2.781	117.594
32	PAH-L040.HIN	tetracene	102	204	123	246	18	14.909	2.25	2.289	0.259	36	6	30	74.351	63.222	0.242	2704	3944	2969	6140	17.642	0	569	3.719	34.64	59.834	325.754	43.616	1.842	7.081	1661	40.635	2257	18017	1.385	39.866	12453	379.333	379.333	379.333	379.333	379.333	1.465	2.197	2.197	2.197	2.197	2.197	0.361	0.275	4.304	14.728	41.059	9.668	3.577	1.502	1.921	0.888	0.583	0.347	0.199	0.118	0.8	298	130	7.222	1.136	10.469	49	256	32	0	0	2.281	0	102.956	0	124.501	0	0	11.949	8.899	8.072	7.222	6.328	5.758	0.664	0.424	0.269	0.172	0.109	0.07	9.928	6.214	4.746	3.569	2.634	2.01	0.552	0.296	0.158	0.085	0.045	0.025	11.949	8.899	8.072	7.222	6.328	5.758	53.394	3.142	141.962
33	PAH-L041.HIN	benzo[a]anthracene	102	204	124	247	18	14.909	2.25	2.289	0.259	36	6	31	73.839	61.444	0.234	2624	3832	2869	5944	17.513	0	553	3.614	34.852	60.363	319.74	42.811	1.734	7.081	1557	40.955	2265	18135	1.374	38.434	12435	368.667	368.667	368.667	368.667	368.667	1.512	2.268	2.268	2.268	2.268	2.268	0.361	0.299	4.191	14.825	67.059	9.668	3.577	1.429	1.921	0.889	0.582	0.353	0.206	0.121	0.8	284	124	6.889	1.025	9.432	45	296	36	0	0	2.261	0	98.969	0	120.822	0	0	11.949	8.916	7.986	7.278	6.454	5.813	0.664	0.425	0.266	0.169	0.108	0.069	9.928	6.22	4.707	3.611	2.696	2.037	0.552	0.296	0.157	0.084	0.045	0.024	11.949	8.916	7.986	7.278	6.454	5.813	53.495	3.111	143.506
34	PAH-L042.HIN	chrysene	102	204	125	248	18	14.909	2.25	2.289	0.259	36	6	32	73.57	60.556	0.23	2584	3776	2819	5846	17.451	0	545	3.562	35.012	60.721	314.778	42.147	1.651	7.081	1513	41.19	2275	18286	1.361	37.484	12419	363.333	363.333	363.333	363.333	363.333	1.538	2.308	2.308	2.308	2.308	2.308	0.361	0.236	4.082	14.927	57.059	9.668	3.577	1.362	1.921	0.889	0.58	0.36	0.214	0.121	0.8	280	122	6.778	1.136	9.284	45	280	36	0	0	2.281	0	96.575	0	118.256	0	0	11.949	8.933	7.899	7.327	6.621	5.848	0.664	0.425	0.263	0.167	0.107	0.069	9.928	6.226	4.669	3.651	2.771	2.051	0.552	0.296	0.156	0.083	0.045	0.024	11.949	8.933	7.899	7.327	6.621	5.848	53.596	3.09	144.578
35	PAH-L043.HIN	benzo[c]phenanthrene	102	204	125	248	18	14.909	2.25	2.289	0.259	36	6	32	73.058	58.778	0.22	2504	3664	2719	5650	17.302	0	529	3.458	35.15	61.132	312.675	41.865	1.593	7.081	1401	41.409	2271	18222	1.365	36.479	12415	352.667	352.667	352.667	352.667	352.667	1.587	2.381	2.381	2.381	2.381	2.381	0.36	0.212	4.056	14.91	55.059	9.668	3.577	1.362	1.921	0.889	0.579	0.358	0.217	0.128	1	257	113	6.278	0.864	8.198	41	320	36	0	0	2.071	0	93.383	0	115.948	0	0	11.949	8.933	7.909	7.285	6.605	5.975	0.664	0.425	0.264	0.166	0.105	0.068	9.928	6.226	4.672	3.634	2.777	2.105	0.552	0.296	0.156	0.083	0.044	0.024	11.949	8.933	7.909	7.285	6.605	5.975	53.596	3.066	145.725
36	PAH-L044.HIN	triphenylene	102	204	126	249	18	14.909	2.25	2.289	0.259	36	6	33	72.503	57	0.212	2424	3552	2619	5454	17.16	0	513	3.353	35.396	61.729	299.727	40.132	1.018	7.08	1305	41.779	2229	17679	1.444	36.609	12303	342	342	342	342	342	1.642	2.463	2.463	2.463	2.463	2.463	0.327	0.212	3.924	14.976	28.529	9.668	3.577	1.299	1.921	0.89	0.575	0.361	0.229	0.136	0.4	246	108	6	0.667	8	45	216	24	0	0	1.585	0	94.102	0	114.985	0	0	11.949	8.949	7.837	7.274	6.754	6.15	0.664	0.426	0.261	0.162	0.102	0.066	9.928	6.232	4.637	3.652	2.859	2.179	0.552	0.297	0.155	0.081	0.043	0.023	11.949	8.949	7.837	7.274	6.754	6.15	53.697	3.036	147.506
37	PAH-L045.HIN	pyrene	94	186	117	230	18	13.523	2.286	2.328	0.272	32	6	30	60.822	45.25	0.215	1770	2586	1933	3971	15.237	0	362	3.017	31.525	52.61	191.242	28.546	0.883	6.996	845	36.893	1564	11066	1.347	27.939	10677	241.333	241.333	241.333	241.333	241.333	1.671	2.506	2.506	2.506	2.506	2.506	0.332	0.212	3.716	12.347	36	8.118	2.733	0.974	1.387	0.878	0.589	0.368	0.224	0.132	0.75	200	86	5.375	0.719	5.438	34	180	22	0	0	1.75	0	79.424	0	167.448	0	83.12	10.535	7.933	7.212	6.738	6.285	5.752	0.658	0.418	0.258	0.16	0.101	0.065	8.774	5.559	4.29	3.393	2.67	2.051	0.548	0.293	0.153	0.081	0.043	0.023	10.535	7.933	7.212	6.738	6.285	5.752	47.596	2.859	127.46
38	PAH-L046.HIN	1-methylpyrene	100	194	125	241	19	13.929	2.17	2.269	0.268	34	7	33	66.417	50.353	0.211	2048	2932	2206	4360	16.116	4.582	428	3.147	33.769	57.602	233.689	32.988	0.981	6.996	1036	39.738	1780	12726	2.486	33.49	12304	290.667	290.667	290.667	290.667	290.667	1.677	2.483	2.483	2.483	2.483	2.483	0.328	0.249	4.164	13.999	63.487	9.005	2.982	1.074	1.579	0.896	0.596	0.373	0.221	0.132	0.75	215	94	5.529	0.796	6.215	37	227	29	2	0.481	1.851	0	87.12	0	183.603	0	91.129	11.405	8.343	7.739	7.224	6.575	6.051	0.671	0.417	0.258	0.161	0.1	0.064	9.696	5.976	4.738	3.747	2.881	2.241	0.57	0.299	0.158	0.083	0.044	0.024	11.405	8.343	7.739	7.224	6.575	6.051	50.06	2.901	139.247
39	PAH-L047.HIN	2-methylpyrene	100	194	124	240	19	13.929	2.17	2.269	0.268	34	7	32	66.636	51.059	0.215	2076	2966	2238	4404	16.18	4.704	434	3.191	33.667	57.37	235.56	33.252	1.025	6.996	1073	39.587	1774	12635	2.494	34.048	12310	294.667	294.667	294.667	294.667	294.667	1.654	2.451	2.451	2.451	2.451	2.451	0.337	0.272	4.292	13.913	57.487	9.005	2.982	1.126	1.579	0.896	0.595	0.362	0.222	0.133	1	230	100	5.882	0.948	6.304	38	222	34	2	0.481	2.064	0	88.232	0	185.684	0	91.929	11.405	8.326	7.857	6.998	6.649	6.038	0.671	0.416	0.262	0.159	0.101	0.064	9.696	5.97	4.797	3.608	2.909	2.225	0.57	0.299	0.16	0.082	0.044	0.024	11.405	8.326	7.857	6.998	6.649	6.038	49.959	2.914	138.586
40	PAH-L048.HIN	4-methylpyrene	100	194	125	241	19	13.929	2.17	2.269	0.268	34	7	33	66.267	49.882	0.208	2030	2910	2186	4332	16.077	4.5	424	3.118	33.824	57.743	232.051	32.757	0.843	6.996	1012	39.821	1784	12782	2.48	33.115	12261	288	288	288	288	288	1.692	2.504	2.504	2.504	2.504	2.504	0.328	0.296	4.128	13.976	65.487	9.005	2.982	1.074	1.579	0.896	0.594	0.372	0.226	0.135	0.75	213	93	5.471	0.734	6.478	37	219	25	2	0.481	1.784	0	86.544	0	183.089	0	91.191	11.405	8.343	7.751	7.148	6.683	6.099	0.671	0.417	0.258	0.159	0.1	0.064	9.696	5.976	4.742	3.715	2.944	2.268	0.57	0.299	0.158	0.083	0.044	0.024	11.405	8.343	7.751	7.148	6.683	6.099	50.06	2.894	139.627
41	PAH-L049.HIN	2-7-dimethylpyrene	106	202	131	250	20	14.334	2.077	2.217	0.264	36	8	34	72.567	57.222	0.216	2416	3380	2575	4869	17.113	6.975	515	3.366	35.821	62.242	284.736	38.124	1.131	6.996	1346	42.304	1999	14324	3.648	40.758	14097	354.667	354.667	354.667	354.667	354.667	1.64	2.406	2.406	2.406	2.406	2.406	0.336	0.279	4.865	15.564	45.059	9.902	3.23	1.298	1.777	0.912	0.601	0.357	0.22	0.134	0.8	264	116	6.444	1.16	7.802	43	256	38	5	0.584	2.197	0	97.041	0	203.921	0	100.738	12.276	8.72	8.503	7.259	7.013	6.324	0.682	0.415	0.266	0.158	0.1	0.063	10.619	6.381	5.303	3.822	3.149	2.398	0.59	0.304	0.166	0.083	0.045	0.024	12.276	8.72	8.503	7.259	7.013	6.324	52.322	2.97	149.951
42	PAH-L050.HIN	pentacene	128	254	156	310	23	18.493	2.276	2.318	0.233	44	8	39	99.074	91.909	0.235	4820	6968	5436	11139	21.279	0	1011	4.377	44.146	80.581	568.145	82.439	2.244	8.844	3446	52.341	4239	41528	1.367	56.883	37502	674	674	674	674	674	1.288	1.932	1.932	1.932	1.932	1.932	0.366	0.309	5.803	19.087	56.107	11.765	4.317	1.814	2.309	0.879	0.59	0.352	0.201	0.121	0.833	448	192	8.727	1.388	15.339	73	416	48	0	0	2.55	0	150.571	0	192.874	0	0	14.518	10.865	10.064	9.099	8.068	7.463	0.66	0.418	0.265	0.169	0.106	0.068	12.083	7.619	5.945	4.525	3.386	2.632	0.549	0.293	0.156	0.084	0.045	0.024	14.518	10.865	10.064	9.099	8.068	7.463	65.192	3.535	193.519
43	PAH-L051.HIN	dibenzo[ai]anthracene	128	254	157	311	23	18.493	2.276	2.318	0.233	44	8	40	98.552	89.727	0.228	4700	6800	5286	10845	21.157	0	987	4.273	44.381	81.212	559.187	81.139	2.158	8.844	3266	52.701	4251	41750	1.359	55.164	37451	658	658	658	658	658	1.321	1.982	1.982	1.982	1.982	1.982	0.366	0.333	5.692	19.192	85.353	11.765	4.317	1.745	2.309	0.88	0.588	0.356	0.207	0.122	0.833	431	185	8.409	1.318	14.314	69	456	52	0	0	2.534	0	145.765	0	188.1	0	0	14.518	10.882	9.977	9.156	8.194	7.522	0.66	0.419	0.263	0.166	0.105	0.067	12.083	7.625	5.907	4.567	3.448	2.66	0.549	0.293	0.155	0.083	0.044	0.024	14.518	10.882	9.977	9.156	8.194	7.522	65.293	3.504	195.34
44	PAH-L052.HIN	dibenzo[ah]anthracene	128	254	158	312	23	18.493	2.276	2.318	0.233	44	8	41	98.183	88.273	0.224	4620	6688	5186	10649	21.079	0	971	4.203	44.593	81.742	550.41	79.865	2.073	8.844	3162	53.02	4261	41935	1.352	54.028	37400	647.333	647.333	647.333	647.333	647.333	1.346	2.019	2.019	2.019	2.019	2.019	0.366	0.333	5.579	19.299	76.108	11.765	4.317	1.68	2.309	0.88	0.587	0.361	0.213	0.124	0.833	424	182	8.273	1.388	13.884	69	424	52	0	0	2.55	0	142.558	0	184.351	0	0	14.518	10.899	9.891	9.213	8.319	7.579	0.66	0.419	0.26	0.165	0.104	0.066	12.083	7.631	5.868	4.609	3.51	2.687	0.549	0.293	0.154	0.082	0.044	0.024	14.518	10.899	9.891	9.213	8.319	7.579	65.394	3.479	196.892
45	PAH-L053.HIN	dibenzo[aj]anthracene	128	254	158	312	23	18.493	2.276	2.318	0.233	44	8	41	97.851	86.818	0.218	4540	6576	5086	10453	20.98	0	955	4.134	44.65	81.974	550.049	79.813	2.066	8.844	3018	53.117	4265	42011	1.35	52.956	37400	636.667	636.667	636.667	636.667	636.667	1.367	2.051	2.051	2.051	2.051	2.051	0.366	0.356	5.582	19.299	78.108	11.765	4.317	1.68	2.309	0.88	0.587	0.361	0.213	0.124	1	402	173	7.864	1.083	12.893	65	480	52	0	0	2.379	0	139.514	0	182.404	0	0	14.518	10.899	9.891	9.213	8.323	7.56	0.66	0.419	0.26	0.165	0.104	0.066	12.083	7.631	5.868	4.609	3.511	2.681	0.549	0.293	0.154	0.082	0.044	0.024	14.518	10.899	9.891	9.213	8.323	7.56	65.394	3.468	197.511
46	PAH-L054.HIN	benzo[b]chrysene	128	254	158	312	23	18.493	2.276	2.318	0.233	44	8	41	98.173	88.273	0.224	4620	6688	5186	10649	21.085	0	971	4.203	44.593	81.742	549.447	79.726	2.054	8.844	3162	53.02	4281	42287	1.335	53.515	37403	647.333	647.333	647.333	647.333	647.333	1.348	2.022	2.022	2.022	2.022	2.022	0.366	0.321	5.579	19.303	88.108	11.765	4.317	1.68	2.309	0.88	0.587	0.361	0.212	0.124	0.833	426	183	8.318	1.347	14.479	65	512	56	0	0	2.534	0	141.27	0	182.406	0	0	14.518	10.899	9.891	9.212	8.33	7.555	0.66	0.419	0.26	0.164	0.104	0.066	12.083	7.631	5.868	4.608	3.512	2.68	0.549	0.293	0.154	0.082	0.044	0.024	14.518	10.899	9.891	9.212	8.33	7.555	65.394	3.48	196.895
47	PAH-L055.HIN	dibenzo[ac]anthracene	128	254	159	313	23	18.493	2.276	2.318	0.233	44	8	42	96.696	82.455	0.204	4300	6240	4786	9865	20.73	0	907	3.926	45.121	83.284	519.645	75.401	1.571	8.843	2682	53.845	4215	41168	1.389	51.288	36535	604.667	604.667	604.667	604.667	604.667	1.449	2.174	2.174	2.174	2.174	2.174	0.365	0.333	5.421	19.355	76.108	11.765	4.317	1.618	2.309	0.881	0.583	0.361	0.221	0.134	0.8	370	160	7.273	1.025	13.223	61	472	48	0	0	2.231	0	134.973	0	173.58	0	0	14.518	10.916	9.828	9.166	8.441	7.822	0.66	0.42	0.259	0.161	0.1	0.064	12.083	7.637	5.836	4.611	3.592	2.803	0.549	0.294	0.154	0.081	0.043	0.023	14.518	10.916	9.828	9.166	8.441	7.822	65.495	3.413	201.298
48	PAH-L056.HIN	pycene	128	254	159	313	23	18.493	2.276	2.318	0.233	44	8	42	97.983	87.545	0.222	4580	6632	5136	10551	21.048	0	963	4.169	44.753	82.099	542.373	78.699	1.992	8.844	3118	53.256	4299	42630	1.324	52.574	37356	642	642	642	642	642	1.361	2.041	2.041	2.041	2.041	2.041	0.366	0.27	5.47	19.417	76.108	11.765	4.317	1.618	2.309	0.881	0.586	0.366	0.218	0.124	0.833	424	182	8.273	1.388	14.413	65	496	56	0	0	2.55	0	138.914	0	179.93	0	0	14.518	10.916	9.804	9.26	8.497	7.592	0.66	0.42	0.258	0.162	0.104	0.066	12.083	7.637	5.829	4.648	3.587	2.694	0.549	0.294	0.153	0.082	0.044	0.023	14.518	10.916	9.804	9.26	8.497	7.592	65.495	3.463	197.97
49	PAH-L057.HIN	benzo[a]pyrene	120	236	151	295	23	17.107	2.308	2.352	0.242	40	8	40	84.097	68	0.206	3302	4778	3712	7574	18.891	0	680	3.579	41.347	73.68	358.672	56.8	1.304	8.757	1868	49.069	3166	28199	1.333	41.024	34134	453.333	453.333	453.333	453.333	453.333	1.487	2.231	2.231	2.231	2.231	2.231	0.349	0.309	5.025	16.649	80.439	10.221	3.488	1.244	1.782	0.871	0.592	0.37	0.227	0.136	0.8	318	135	6.75	1.075	9.8	50	360	42	0	0	2.261	0	116.892	0	229.53	0	92.881	13.104	9.916	9.128	8.624	8.139	7.586	0.655	0.413	0.254	0.157	0.098	0.062	10.928	6.97	5.454	4.371	3.489	2.74	0.546	0.29	0.151	0.079	0.042	0.022	13.104	9.916	9.128	8.624	8.139	7.586	59.495	3.231	180.522
50	PAH-L058.HIN	benzo[e]pyrene	120	236	152	296	23	17.107	2.308	2.352	0.242	40	8	41	83.292	65.2	0.194	3160	4580	3532	7224	18.672	0	652	3.432	41.677	74.548	348.287	55.156	1.01	8.756	1684	49.574	3190	28589	1.306	38.862	34169	434.667	434.667	434.667	434.667	434.667	1.553	2.329	2.329	2.329	2.329	2.329	0.336	0.247	4.878	16.721	62.439	10.221	3.488	1.198	1.782	0.872	0.589	0.373	0.236	0.144	0.4	286	122	6.1	0.72	8.96	50	304	32	0	0	1.571	0	110.073	0	217.344	0	89.013	13.104	9.933	9.054	8.63	8.252	7.767	0.655	0.414	0.251	0.154	0.096	0.061	10.928	6.976	5.419	4.393	3.557	2.823	0.546	0.291	0.151	0.078	0.041	0.022	13.104	9.933	9.054	8.63	8.252	7.767	59.596	3.188	183.065
51	PAH-L059.HIN	perylene	120	236	152	296	23	17.107	2.308	2.352	0.242	40	8	41	83.366	65.4	0.195	3172	4596	3550	7256	18.682	0	654	3.442	41.657	74.49	350.11	55.444	1.136	8.759	1697	49.543	3146	27915	1.367	39.527	33918	436	436	436	436	436	1.545	2.318	2.318	2.318	2.318	2.318	0.341	0.247	4.898	16.737	50.439	10.221	3.488	1.198	1.782	0.872	0.589	0.375	0.238	0.141	0.4	286	122	6.1	0.72	8.72	52	268	24	0	0	1.571	0	112.864	0	225.771	0	93.066	13.104	9.933	9.054	8.616	8.323	7.728	0.655	0.414	0.251	0.154	0.097	0.061	10.928	6.976	5.419	4.39	3.58	2.8	0.546	0.291	0.151	0.078	0.042	0.022	13.104	9.933	9.054	8.616	8.323	7.728	59.596	3.189	182.861
52	PAH-L060.HIN	coronene	156	300	204	390	33	21.501	2.4	2.449	0.216	48	12	57	105.95	83.5	0.17	5040	7188	5934	11820	21.651	0	1002	3.63	54.587	102.214	462.029	89.55	0.669	12.081	2697	65.757	5790	63855	1.211	48.14	236778	668	668	668	668	668	1.409	2.113	2.113	2.113	2.113	2.113	0.318	0.274	6.568	20.185	36	11.424	3.519	1.137	1.675	0.846	0.61	0.387	0.241	0.155	0.4	366	150	6.25	0.75	10.5	66	420	28	0	0	1.5	0	157.914	0	449.228	0	272.754	15.413	11.899	11.489	11.382	11.055	11.049	0.642	0.397	0.239	0.146	0.088	0.054	12.928	8.464	6.982	5.887	4.893	4.155	0.539	0.282	0.145	0.075	0.039	0.02	15.413	11.899	11.489	11.382	11.055	11.049	71.394	3.487	260.716
53	PAH-L061.HIN	anthranthrene	138	268	177	342	28	19.304	2.357	2.405	0.228	44	10	48	95.076	76.273	0.188	4156	5964	4797	9654	20.333	0	839	3.632	47.798	87.316	409.336	72.814	1.056	10.425	2308	57.145	4341	43139	1.259	44.694	91650	559.333	559.333	559.333	559.333	559.333	1.432	2.148	2.148	2.148	2.148	2.148	0.331	0.343	5.896	18.373	76.108	10.81	3.48	1.19	1.71	0.857	0.601	0.378	0.236	0.145	0.8	356	148	6.727	1.025	10.116	57	424	42	0	0	2.231	0	138.368	0	342.432	0	185.494	14.259	10.899	10.358	9.926	9.644	9.273	0.648	0.404	0.247	0.15	0.093	0.058	11.928	7.714	6.239	5.092	4.202	3.419	0.542	0.286	0.149	0.077	0.04	0.021	14.259	10.899	10.358	9.926	9.644	9.273	65.394	3.371	218.642
54	PAH-L062.HIN	benzo[ghi]perylene	138	268	178	343	28	19.304	2.357	2.405	0.228	44	10	49	94.469	74.091	0.181	4032	5792	4637	9346	20.173	0	815	3.528	48.074	88.043	402.137	71.533	0.878	10.423	2148	57.567	4433	44945	1.208	42.837	91756	543.333	543.333	543.333	543.333	543.333	1.475	2.212	2.212	2.212	2.212	2.212	0.33	0.269	5.759	18.459	72.108	10.81	3.48	1.153	1.71	0.858	0.6	0.382	0.24	0.15	0.4	326	136	6.182	0.744	9.719	57	376	32	0	0	1.539	0	131.623	0	327.106	0	177.651	14.259	10.916	10.271	9.999	9.686	9.401	0.648	0.404	0.245	0.149	0.091	0.057	11.928	7.72	6.2	5.138	4.235	3.481	0.542	0.286	0.148	0.077	0.04	0.021	14.259	10.916	10.271	9.999	9.686	9.401	65.495	3.339	220.802
55	PAH-L063.HIN	dibenzo[ae]pyrene	146	286	186	361	28	20.69	2.323	2.368	0.22	48	10	51	107.667	90.167	0.186	5228	7532	5951	12115	22.069	0	1082	3.92	51.848	97.953	574.57	94.444	1.257	10.517	3163	62.355	5640	60914	1.296	53.091	94807	721.333	721.333	721.333	721.333	721.333	1.411	2.116	2.116	2.116	2.116	2.116	0.353	0.367	6.227	21.117	110.039	12.323	4.242	1.469	2.178	0.868	0.591	0.373	0.235	0.144	0.8	411	174	7.25	0.958	13.681	66	580	54	0	0	2.189	0	150.678	0	282.649	0	96.685	15.673	11.916	10.971	10.523	10.084	9.569	0.653	0.411	0.249	0.153	0.094	0.059	13.083	8.387	6.583	5.373	4.369	3.509	0.545	0.289	0.15	0.078	0.041	0.022	15.673	11.916	10.971	10.523	10.084	9.569	71.495	3.526	242.29
56	PAH-L064.HIN	1-methylchrysene	108	212	133	259	19	15.315	2.151	2.239	0.256	38	7	35	79.082	65.263	0.22	2894	4163	3120	6279	18.228	4.898	620	3.626	37.359	66.163	366.717	46.697	1.611	7.081	1729	44.202	2546	20590	2.493	43.245	13888	419.333	419.333	419.333	419.333	419.333	1.575	2.337	2.337	2.337	2.337	2.337	0.357	0.319	4.526	16.727	76.711	10.573	3.827	1.466	2.13	0.906	0.586	0.364	0.217	0.126	0.8	293	129	6.789	1.086	10.094	48	328	40	2	0.447	2.268	0	103.772	0	127.743	0	0	12.82	9.343	8.439	7.738	7.008	6.225	0.675	0.425	0.264	0.165	0.105	0.067	10.851	6.643	5.121	3.974	3.042	2.28	0.571	0.302	0.16	0.085	0.045	0.025	12.82	9.343	8.439	7.738	7.008	6.225	56.06	3.117	157.387
57	PAH-L065.HIN	6-methylchrysene	108	212	133	259	19	15.315	2.151	2.239	0.256	38	7	35	79.436	66.526	0.226	2948	4229	3180	6363	18.309	5.088	632	3.696	37.253	65.851	371.825	47.348	1.728	7.081	1813	44.035	2560	20811	2.478	43.669	14212	427.333	427.333	427.333	427.333	427.333	1.544	2.294	2.294	2.294	2.294	2.294	0.359	0.257	4.579	16.766	71.956	10.573	3.827	1.466	2.13	0.906	0.588	0.366	0.213	0.119	0.8	297	131	6.895	1.175	10.504	49	333	41	2	0.447	2.313	0	104.427	0	127.759	0	0	12.82	9.343	8.427	7.8	6.997	6.05	0.675	0.425	0.263	0.166	0.106	0.067	10.851	6.643	5.117	4.002	3.013	2.188	0.571	0.302	0.16	0.085	0.046	0.024	12.82	9.343	8.427	7.8	6.997	6.05	56.06	3.13	156.563
58	PAH-L066.HIN	3-methylcholanthrene	126	234	159	293	24	17.512	2.211	2.302	0.239	42	9	41	90.76	76.571	0.211	3842	5299	4280	7945	19.887	5.513	804	3.829	43.303	78.308	451.051	68.308	1.679	8.605	2374	51.498	3505	31486	2.471	49.368	34397	560.667	560.667	560.667	560.667	560.667	1.441	2.08	2.08	2.08	2.08	2.08	0.332	0.394	5.066	18.835	92.239	11.336	3.856	1.398	2.081	0.922	0.598	0.375	0.222	0.127	1	364	156	7.429	1.211	11.32	58	390	48	2	0.418	2.489	20.838	107.086	76.653	131.07	48.13	0	13.974	10.327	9.646	9.154	8.436	7.482	0.665	0.413	0.254	0.158	0.098	0.062	12.11	7.683	6.196	5.102	4.083	3.068	0.577	0.307	0.163	0.088	0.047	0.025	13.974	10.327	9.646	9.154	8.436	7.482	61.959	3.308	191.286
59	PAH-L067.HIN	indeno[1-2-3-cd]pyrene	138	268	178	343	28	19.304	2.357	2.405	0.228	44	10	47	95.203	76.818	0.189	4175	5995	4807	9689	20.369	0	845	3.658	47.664	87.023	432.813	76.99	1.225	10.267	2338	56.948	4391	44115	1.232	44.575	81996	563.333	563.333	563.333	563.333	563.333	1.428	2.143	2.143	2.143	2.143	2.143	0.329	0.374	5.69	18.421	98.108	10.81	3.48	1.153	1.71	0.858	0.599	0.38	0.239	0.145	0.6	346	144	6.545	0.909	11	58	414	44	0	0	1.97	17.351	116.49	99.778	188.724	39.545	92.794	14.259	10.916	10.273	9.989	9.7	9.174	0.648	0.404	0.245	0.149	0.092	0.057	11.928	7.72	6.201	5.136	4.24	3.391	0.542	0.286	0.148	0.077	0.04	0.021	14.259	10.916	10.273	9.989	9.7	9.174	65.495	3.384	218.267
60	PAH-L068.HIN	pentaphene	128	254	157	311	23	18.493	2.276	2.318	0.233	44	8	40	98.358	89	0.226	4660	6744	5236	10747	21.123	0	979	4.238	44.433	81.385	556.341	80.726	2.11	8.844	3206	52.785	4263	41948	1.346	54.472	37450	652.667	652.667	652.667	652.667	652.667	1.335	2.003	2.003	2.003	2.003	2.003	0.366	0.321	5.688	19.191	76.108	11.765	4.317	1.745	2.309	0.88	0.588	0.356	0.206	0.123	0.833	428	184	8.364	1.306	14.545	65	528	56	0	0	2.482	0	143.651	0	184.885	0	0	14.518	10.882	9.977	9.163	8.162	7.522	0.66	0.419	0.263	0.167	0.105	0.067	12.083	7.625	5.907	4.568	3.438	2.666	0.549	0.293	0.155	0.083	0.044	0.024	14.518	10.882	9.977	9.163	8.162	7.522	65.293	3.498	195.821
61	PAH-L069.HIN	hexaphene	154	304	190	375	28	22.076	2.294	2.338	0.213	52	10	49	124.466	122.231	0.222	7592	10920	8693	17720	24.6	0	1589	4.889	54.098	103.7	889.439	135.886	2.52	10.606	5979	64.779	7181	83793	1.327	73.786	101741	1059.333	1059.333	1059.333	1059.333	1059.333	1.184	1.776	1.776	1.776	1.776	1.776	0.37	0.355	7.221	23.604	107.457	13.863	5.062	2.062	2.699	0.874	0.593	0.358	0.206	0.124	0.857	602	256	9.846	1.55	20.592	89	864	80	0	0	2.763	0	198.183	0	264.616	0	0	17.087	12.848	11.969	11.041	9.902	9.23	0.657	0.414	0.26	0.165	0.103	0.065	14.238	9.029	7.106	5.524	4.189	3.288	0.548	0.291	0.154	0.082	0.044	0.023	17.087	12.848	11.969	11.041	9.902	9.23	77.091	3.874	251.443
62	PAH-L070.HIN	indano	46	80	53	91	8	7.049	2.16	2.189	0.377	18	2	9	25.712	17.556	0.283	390	526	373	622	8.591	0	79	2.194	14.5	20.5	48.621	4.45	0.95	3.367	143	16.233	248	994	1.398	11.946	540	62	62	62	62	62	1.97	2.535	2.535	2.535	2.535	2.535	0.198	0.238	1.47	6.053	20.529	5.041	1.871	0.748	1.048	1.06	0.56	0.332	0.184	0.078	0.333	70	32	3.556	0.494	1.827	14	32	6	0	0	0.991	12.724	15.679	23.893	0	0	0	6.104	4.466	3.736	3.216	2.687	1.779	0.678	0.447	0.287	0.189	0.128	0.089	5.431	3.534	2.622	2.011	1.515	0.815	0.603	0.353	0.202	0.118	0.072	0.041	6.104	4.466	3.736	3.216	2.687	1.779	26.798	2.176	46.245
